'Name or Address' , 'Policy' , 'Data'
'' , '' , 'ns1-rpz.csp.infoblox.com'
'' , '' , 'ns2-rpz.csp.infoblox.com'
'' , '' , 'ns1-rpz.csp.infoblox.com. support.infoblox.com. 1738929794 900 300 2592001 900'
'*.028xmz.com' , 'BlockNxdomainDomain' , ''
'*.02s.co' , 'BlockNxdomainDomain' , ''
'*.06g.co' , 'BlockNxdomainDomain' , ''
'*.09a.co' , 'BlockNxdomainDomain' , ''
'*.0ffice36o.com' , 'BlockNxdomainDomain' , ''
'*.0g68oxy.sbs' , 'BlockNxdomainDomain' , ''
'*.0gw4zb0u4.sbs' , 'BlockNxdomainDomain' , ''
'*.0nlinewoodforest.com' , 'BlockNxdomainDomain' , ''
'*.0skaidcfb.shop' , 'BlockNxdomainDomain' , ''
'*.111grandbetting1.xyz' , 'BlockNxdomainDomain' , ''
'*.115game.com' , 'BlockNxdomainDomain' , ''
'*.118429.xyz' , 'BlockNxdomainDomain' , ''
'*.11i.xyz' , 'BlockNxdomainDomain' , ''
'*.123ajaib.xyz' , 'BlockNxdomainDomain' , ''
'*.123moviespro.xyz' , 'BlockNxdomainDomain' , ''
'*.132blg.xyz' , 'BlockNxdomainDomain' , ''
'*.168wangpi.com' , 'BlockNxdomainDomain' , ''
'*.1756x.xyz' , 'BlockNxdomainDomain' , ''
'*.1877dokmbrsi.xyz' , 'BlockNxdomainDomain' , ''
'*.18center.com' , 'BlockNxdomainDomain' , ''
'*.18trdf4.sbs' , 'BlockNxdomainDomain' , ''
'*.1e100.tech' , 'BlockNxdomainDomain' , ''
'*.1ksvbm.shop' , 'BlockNxdomainDomain' , ''
'*.1m100.tech' , 'BlockNxdomainDomain' , ''
'*.1songjiang.info' , 'BlockNxdomainDomain' , ''
'*.1stopris.com' , 'BlockNxdomainDomain' , ''
'*.1uuiku.sbs' , 'BlockNxdomainDomain' , ''
'*.2-gis.kz' , 'BlockNxdomainDomain' , ''
'*.21newstv.com' , 'BlockNxdomainDomain' , ''
'*.21usgohappy9.xyz' , 'BlockNxdomainDomain' , ''
'*.22pbms7.bond' , 'BlockNxdomainDomain' , ''
'*.238dh.xyz' , 'BlockNxdomainDomain' , ''
'*.2hu223w.sbs' , 'BlockNxdomainDomain' , ''
'*.2job.xyz' , 'BlockNxdomainDomain' , ''
'*.335w50.xyz' , 'BlockNxdomainDomain' , ''
'*.3389.hk' , 'BlockNxdomainDomain' , ''
'*.33cow.com' , 'BlockNxdomainDomain' , ''
'*.360antivirus.net' , 'BlockNxdomainDomain' , ''
'*.360sec.bj.cn' , 'BlockNxdomainDomain' , ''
'*.38d3wy.sbs' , 'BlockNxdomainDomain' , ''
'*.3j0fn0ud.sbs' , 'BlockNxdomainDomain' , ''
'*.3kt73oa.sbs' , 'BlockNxdomainDomain' , ''
'*.3t3vorh8u.sbs' , 'BlockNxdomainDomain' , ''
'*.3x-tv.com' , 'BlockNxdomainDomain' , ''
'*.4399tv.net' , 'BlockNxdomainDomain' , ''
'*.44lou-18.xyz' , 'BlockNxdomainDomain' , ''
'*.4910k.xyz' , 'BlockNxdomainDomain' , ''
'*.4fe005e7afdf3d3e4031757e361931ff.xyz' , 'BlockNxdomainDomain' , ''
'*.4ki5f3tv.shop' , 'BlockNxdomainDomain' , ''
'*.51shousheng.com' , 'BlockNxdomainDomain' , ''
'*.52y33.xyz' , 'BlockNxdomainDomain' , ''
'*.530hr.com' , 'BlockNxdomainDomain' , ''
'*.54d1oww.sbs' , 'BlockNxdomainDomain' , ''
'*.58fc2k82.sbs' , 'BlockNxdomainDomain' , ''
'*.5a1ga5nc.shop' , 'BlockNxdomainDomain' , ''
'*.5g1y6.xyz' , 'BlockNxdomainDomain' , ''
'*.5gct6.xyz' , 'BlockNxdomainDomain' , ''
'*.5th5ru.sbs' , 'BlockNxdomainDomain' , ''
'*.5tua.com' , 'BlockNxdomainDomain' , ''
'*.5ubdk6v.sbs' , 'BlockNxdomainDomain' , ''
'*.656639.xyz' , 'BlockNxdomainDomain' , ''
'*.6oqwg.xyz' , 'BlockNxdomainDomain' , ''
'*.6ttox81.sbs' , 'BlockNxdomainDomain' , ''
'*.6vxx4to0c.sbs' , 'BlockNxdomainDomain' , ''
'*.6wbrye5.sbs' , 'BlockNxdomainDomain' , ''
'*.77700331.xyz' , 'BlockNxdomainDomain' , ''
'*.777joycasino4.xyz' , 'BlockNxdomainDomain' , ''
'*.7cfzsot.sbs' , 'BlockNxdomainDomain' , ''
'*.7d4ne.xyz' , 'BlockNxdomainDomain' , ''
'*.7teswz.shop' , 'BlockNxdomainDomain' , ''
'*.7thcpcupdates.info' , 'BlockNxdomainDomain' , ''
'*.7thdimension.xyz' , 'BlockNxdomainDomain' , ''
'*.7throsettastone.xyz' , 'BlockNxdomainDomain' , ''
'*.7y4spbzc.sbs' , 'BlockNxdomainDomain' , ''
'*.85v4jq.sbs' , 'BlockNxdomainDomain' , ''
'*.8dhm1gd.bond' , 'BlockNxdomainDomain' , ''
'*.8gaox2.sbs' , 'BlockNxdomainDomain' , ''
'*.8hy7.xyz' , 'BlockNxdomainDomain' , ''
'*.8os0i0.bond' , 'BlockNxdomainDomain' , ''
'*.8rc6z5q.sbs' , 'BlockNxdomainDomain' , ''
'*.8x3ewdec.sbs' , 'BlockNxdomainDomain' , ''
'*.8x4i5.xyz' , 'BlockNxdomainDomain' , ''
'*.911tc.xyz' , 'BlockNxdomainDomain' , ''
'*.919xy.com' , 'BlockNxdomainDomain' , ''
'*.91x19.xyz' , 'BlockNxdomainDomain' , ''
'*.92myhw.com' , 'BlockNxdomainDomain' , ''
'*.9339oua.sbs' , 'BlockNxdomainDomain' , ''
'*.96yz1.xyz' , 'BlockNxdomainDomain' , ''
'*.97nb.net' , 'BlockNxdomainDomain' , ''
'*.9g1.xyz' , 'BlockNxdomainDomain' , ''
'*.9k20anm.com' , 'BlockNxdomainDomain' , ''
'*.9pwli6o.sbs' , 'BlockNxdomainDomain' , ''
'*.a06kgoh.bond' , 'BlockNxdomainDomain' , ''
'*.a1txa.xyz' , 'BlockNxdomainDomain' , ''
'*.a8z01jv6.sbs' , 'BlockNxdomainDomain' , ''
'*.a9l.xyz' , 'BlockNxdomainDomain' , ''
'*.aar1spyn2.sbs' , 'BlockNxdomainDomain' , ''
'*.aax.me' , 'BlockNxdomainDomain' , ''
'*.aboluewang.com' , 'BlockNxdomainDomain' , ''
'*.abtaa.xyz' , 'BlockNxdomainDomain' , ''
'*.abtza.xyz' , 'BlockNxdomainDomain' , ''
'*.accoounts-google.com' , 'BlockNxdomainDomain' , ''
'*.account-profile-users.info' , 'BlockNxdomainDomain' , ''
'*.account-service-management.info' , 'BlockNxdomainDomain' , ''
'*.account-verifiy.net' , 'BlockNxdomainDomain' , ''
